comment,sentiment
kendi kendime konuşuyormuşum,neutral
az önce 1vs15 attım aq. ve eylül atee😍😍😝😝,neutral
balım nerede balım yok mu rüyamı anlatmam lazım,neutral
baban nasıl esma? sağlığı sıhhati yerindedir inşallah.,neutral
yabliskikla favladim yablisliklaaa,neutral
bi bakmissin sena ile eylül birbirini çok sevmiyorken ask dolu tatlis tatlis anlar yasiyor,neutral
meric arkadasim iste isim vermiyorum su an anlayin senin fizik olimpiyatlari ikinci asamasina kac netle gectigini soruyor😔,neutral
sena bana takıntılı mı ne😞😞😞,neutral
sans uyandı,neutral
ben sadeve elma severim ayva ve armut sevmem seveni de sevmem,neutral
eylul kayraya kayra abi demis miydi🤨,neutral
yok birakamam rahat😮,neutral
eylul ben cokta olgun degilim allah'ına beni araya katma i̇wgsi̇qvsi̇aahkabsaksnaj,neutral
yapcak bisi kalmadi,neutral
ooooff çok güldüm kendime,neutral
sena bu arada beni rahat bırakır mısın? rahatsız oluyorum da. (duaya devam edicem bu arada❤❤),neutral
cok uzgunum ama ben hala sinirliyim😔dustan cikip devam edicwm,neutral
bence sena seninde bir auran ve dik duruşun var. güçlü birisisin ve bence çoğu kızda böyle olmalı❤❤❤❤,neutral
of rüyanın yeni bölümü ne zaman gelir,neutral
erkek olsaydim d2ckim olurdu,neutral
bu aradaa benim niye auram yok ki sahsen arisle cok benziyoruz biz🥺👉🏻👈🏻beni niye begenmedin eylul😔,neutral
tamam da ben flört olucam mı dedim? hayır. sen nasıl anlamak istiyorsan öyle anlıyorsun.,neutral
erkek olsaydim womanizer olrdum,neutral
tamam sena👍👍,neutral
“erkek olmasi iyi oldu.2 yildir kiz sevgiliye veya florte tovbeliyim”🥺🥺flort olma amacin yoktu dimi erkek oldugunu duyunca nasil da sey oldun abi o kadar eminim ki yeter ki xy olsun dimi😜,neutral
ayrica erkek olsaydim,neutral
erkek olsaydm kızlarla takılmak icin gay numatası bike yapardım uani o dereve,positive
her dedigimi yanlis anliyorsunuz o sirada aristen acayip hoslandim diyip meric dur demesine ragmen durmayan eylul😔ve bro brodaki en olgun olmayan kisi sensin,neutral
cidden erkek olsaydım,neutral
eyvah tufan eyvah,neutral
"esma gerçekten samimi söylüyorum şu ortamdaki ve tanıdığım en olgun insansın. hani bazı insanlar büyük olurlar(19,20,21 vs) ama olgun olmazlar ya. sen tam tersisin her dediğimi yanlış anlayan veya alınan insanlardan sonra çok iyi geldin.",neutral
yikil dünya uçuğu isirdim,neutral
aynn canim summer is calling ya bu yaz kastayım🤣🤣,neutral
abi sanki asiri iyi ve tatli biriymis gibi de su useri basimiza hep boyle cok tatlisin yaparak yine bazi kisiler sardi basindan beri boyle tek iyi oymus gibi konusup en ufak seyimize laf ediyor🤨sizin icin bu normal olabilir he aynen canim,positive
esmaa selammm❤❤❤,neutral
artik rpci oldum havali kanki yaouyorum😠😠😖,neutral
hazalım gelsede tur atsakk offff😞😞😞,neutral
selam kizlar,neutral
yani itiyi diyo ki,neutral
tamam sena takıntı filan yapmadım yanlış anlaşılma olmuş o zaman. çünkü ben asla bir insanı takıntı yapmam kendimi biliyorum.,neutral
öidem cok bulanıto buraya kusucam simdi,neutral
şeytan diyor ki,neutral
ben onu bunu anlamam bilidifm tek sey exonn acilen cb yapması,neutral
"konuyu ben açtım dediklerimizi dedik, eylül meriç gelince de meriç seni rahatsız mı ettim kusura bakma demek için dahi konuyu açma , açtığım gibi ben kapatıyorum şu şaatten itibaren hangi sebeple olursa olsun sinirimi hoplatan moralimi bozan veya yakın çevreme saran kim olursa olsun gözünün yaşına bakmam",neutral
yıne mı,neutral
ya ben neden takıntı yapıyım yüzünü görmediğim çocuğa. bakın arkadaşlar ben aşık oldum demiyorum veya çıkmak istiyorumda demiyorum. sadece aurası var ve benim hoşuma gitti hoşlantı.,neutral
imdat,neutral
ya sabir ya sabir ci̇dden yaaa sabir,neutral
ya sena bende yaşını başta yanlış anlaşılma olmasın diye sordum. çok büyükse ben neden istiyim çok saçma,neutral
neyse iki taraf da asiri yakin arkadasim ve iki tarafi da rahatsiz etme cok ciddi diyorum ikisini de sal,neutral
meriçi darladıysam ve rahatsız olduysa gerçekten çok özür dilerim.🙏🙏,neutral
iyi aris niye sanki canavarmis da eylul de sanki asiri kucukmus gibi konusuyorsunuz ki yani tamam iliskilerindeki tercihleri asla onayladigim seyler degil ve kendisine de asiri sinirlendigim seyler ama aris kizla konusmamisken bile kizin sirf dalgasina olan ve sadece ugrasmak icin actigi eyluluuseviyorum hesabina bu kadar sey olup takinti haline getirmesi rahatsiz edici asil olan fakese bile rahatsiz edici ve aris de asla boyle biri degil pedo fazla sey oldu,neutral
allah kimseyi dilime düşürmesin,neutral
sena bu arada bu sabah namazında sana çoook dua ettim umarım her şey gönlünce olur🩷🩷🩷🩷,neutral
tam olarak sardi,neutral
meriçten rica etmedin çocuğu darlayıp durdun rahat bırak zamanı değil dedikçe devam ettin,neutral
yaşını başını ne olduğunu bilmediğin hiçbir insana bulaşma seni tanımıyor veya gerçekten ne olduğunu bilmiyorum ama o maskenin arkasında da bir isnan var sonuçta ve bu tür hareketlerin sana zarar verir. yapma.,neutral
yav ne bulaşmışım meriçe. ki bu yaptığın bence meriçe saygısızlık. kendisi sanki 10 yaşındaymışta savunamıyormuş kendini gibi davranıyorsun. arkadaşını savunmak istemeni anlarım ve buna saygı duyarım ama bence çizgiyi aşmamak en iyisi❤❤,neutral
he gelmıssın,neutral
sanane abi yasindan tanimiyorsun bile kafana gore hoslanamazsin kisaca arkadaslarimi sal basindan beri asiri rahatsiz edicisin fake misin nesin bilmiyorum her neysen fazla rahatsiz edicisin mericleri de dun acayip darlamissin yani evet kisaca sadece arisi degil direkt butun arkadaslarimi rahat birak ayrica birak cikmayi arisle arkadas bile olamazsin cunku evet 🤔o bu yasta biriyle arkadas olma sansini benimle doldurdu ve hayir baska birine gerek yok ozellikle senin gibi arisi tanimayan birine hic gerek yok,negative
oha iyiyi sakin ol. kimseyi rahatsız ettiğim yok. ben meriçten birşey rica ettim elinden geldiği kadar yaptı. lütfen bir daha küfür etme bana arkadaşların seviyor olabilir ama ben nefret ediyorum.,neutral
cümlelerinin içinde bir daha aris veya meriç geçtiğini görürsem seni mahvederim,neutral
iyiyi deniz bromdan uzak dur diyor bizi kıskanıyor,neutral
ya aris kaç yaşındaki? ben aramızda o kadar yaş farkının olduğunu düşünmüyorum,neutral
benim enerjinin tavan olduğu saat dilimleri var o zaman dilimleri geçince sus pus oluyorum bak yine geçti,neutral
deniyorm iyiyi ins olur,neutral
"bir tane grup var ya onların imza gününde beş saat ayakya bekliyor o xaman ne ağrı var ne sızı😡
-byun baekhyun o anne. kore pop. 😒😒
neyse ne iştee",neutral
oha,neutral
ya bi sey dicem aranızda mercanla kpnusan var mı,neutral
uyku... rüyalar.. rüya..,neutral
uyuyor mu ya yazsam,neutral
uyan be adam,neutral
manita sortuna cok kisa diyo,neutral
bugün çok güzel şarkılar çalıyor😭,neutral
herkesin bi yari var ben hala kari kiz pesindeyim,neutral
"karım gidiyorsa benim burda ne işim vae
i̇yi geceler kızlar🎀",neutral
varsın bu aşk böyle kalsıııın sen içimde yaşayacaksın,neutral
sana ördüğüm aşırı dekolteli üstü giyinip göstermek isterdim şuan müsait bi ortam yok sonraya kalsın hatırlarsam✍️🏻,neutral
i̇yi geceleerr,neutral
haberin yok ben ölüyorum,neutral
asi köylülerin ellerinde kuru sopalar,neutral
yalakanım bebeğim,neutral
mezuniyet için şarkı listesini de ben ayarlıyorum cbcbcb full halay,positive
of yamyamlar her yerimi isiriyor,neutral
bir gruba girdin mi hayatın kararıyor rastgele her yere alıyorlar,neutral
gercek mi bilmiyorum ama su anki soyledigi yasta bile tam olarak arisin kardesiyle yasit ve aurasi var ne abi😨😨ne aurasini gormus benim bile arisj bir kasik suda b0g4s!m geliyor bazen ve burada da hep kudurukluk yapti yani her neyse lavuk tam anlamiyla sardi aq baska bir olay yokmus gibi bir de demis ki beni o diger olay ilgilendirmiyor asiri uzgunum ama arisle cikacak kadar buyuk olsa ve ciksalar bile aris ondan cok hatta cogu seyden cok bunu onemserdi abi saka mi of neyse yrramiyesin?,neutral
babam numaramı geri aldı. dedi sen numara yüzünden şımardın✍️🏻,neutral
sırıtıcan olm manyak gibi,neutral
her kıvrımında tilkiler,neutral
meric kayra nasil🤨,neutral
anlamazdin anlamazdin,neutral
duru baska neyin var kopyalayayim oyoe gideyim,neutral
sena eylül aristen hoşlanıyormuş sena ulaşsın gelsin buraya deyip durdu haberin olsun,neutral
bir şey var da,neutral
duru.. benlda araniza alin asiir eglenceli gpzkuyor of,neutral
7u7😊,neutral
"merak ettiğim şeyler yarı listesi 
-kayrayla ne zaman konuşurum 
-elayı ne zaman öperim
-ne zaman okul biter 
-rahat koltuktaki bebek molly nasıl hareket ediyordu
-ejder meyvesi",neutral
akşamlar bir roman gibi biterdi,neutral
zey tp bak sabrım kalmadı bu son. kalanlarını pinttebatarım yarın,neutral
yaswmin nasil acaba,neutral
robloxumu geri ver ver ver,neutral
ne vakit maçka'dan geçsem,neutral
ya ben robloxda ban yedim... oyunda veletler merdivene basıp geri yukarıya dönüyorlardı sürekli düşüyordum eğleniyorlardı benle. veletsiniz dedim hemen şikayet etmişker 3 gün giremicem💔,neutral
telefonu düşürdüm kulaklık yüzünden video kapandı,neutral
gözlerin gözlerime değince,neutral
zey,neutral
aga nerede benim hanım diye kaydedilmek neredee,neutral
bırakma kendini,neutral
duru fiyatlar asiri ucuz link gelir mi,neutral
telefonun sesini hangi mal fulledi,neutral
now watch tha chaos,neutral
duru aminakoyqm o ne,neutral
718k,neutral
yolun ardina bakmadık yorulmadık,neutral
aşırı kötü birisi gibi hissediyorum zey çabuk tp,neutral
"dur hakkini helal et kopyaladim caldim 

öncelikle güzel kızım:) karnına sıcak:)su torbası koyuyorsun:) çikolata yiyorsun:) uyuyup dinleniyorsun:)",positive
sanırım mavi değilde ilk önce kırmızı yapcam,neutral
ha birde saç boyası alcaktım param bitti🙂,neutral
zey dur sana bir şey atıcam ama çok ayıp atasımda yok o yüzden ahlaskızdiye adım çıkar,neutral
selamlar,neutral
bugün hello kityli motor gördüm aşiri i̇yi̇ydi̇,neutral
zey,neutral
güzel kızım,neutral
duru,neutral
ama ben bu pankartı tutmıcam kurtlar vadisi ile ilgili yapcaz bi tane onu tutcam gerekirse kavga etcem ama onu ben alcam,neutral
hangi oje yakışmaz ki kız sana,neutral
benim kafa hâlâ düzelmedi ya,neutral
i̇mdaf çok i̇yi̇,neutral
turkiyede yasamak cok yorucu,neutral
işte şimdi bu hesabı hak ettin canımın en içi,neutral
bugün,neutral
ben insanlara tahammul edemem mesela ama senin saat kaçta nasıl kalktın ne yaptın kaç adım attın hepsini dinlemek istiyoru🥺💔,neutral
diriririririm,neutral
aa duru biz dün pankart yaptık ya onu da göstereyim mi sana,neutral
happy 60m stayssss❤,positive
oof cok sıkıldım,neutral
bir gün özele geçtiğimizde,neutral
tp,neutral
chatgpt'ye sormam lazım acil çay bardağı olmam gerek,neutral
diriiiriririiri,neutral
askm,neutral
çay bardağı olmak isteyen 1 adet duru,neutral
çok tuhaf biri ta,neutral
bugün kupamı kırıp yenisini getirmeyi unuttuğum için sadece 1 bardak kahve içebildim korkunçtu,neutral
iyi sus,neutral
yine şarj kablomu yırttım,neutral
bizim yere gidelim videoyu çoookk merak ettim😭,neutral
anlamasam daha mı iyi🤔 yani bir düğmeyle o kadar kızarıyorsa boynunda iz bırakacak öpücüklerle ne kadar kızarır kim bilir demek istedik ısırmak fln tch öyle insanlar mıyız,neutral
askm burda misin,neutral
iyiyi,neutral
yaza az kaldı,neutral
"since ten, i’ve been feelin' lonely",neutral
asıl benim cildin slklık rüyadan etkilenip uçuk çıkarttı bir sürü ci̇dden saf,neutral
lan,neutral
bazen cildimin şov yaptığını düşünüyorum,neutral
of of of,neutral
açıklayabilirim,neutral
"why starting sound like bts ""jump"" song ""v"" part? i am stay and army too💜",positive
duru bizim yere gelsene,neutral
bi dk etiketlemeye çalışıcam,neutral
rüyanın devamında annem bizi öpüşürken yakaladı orası ayrı ama o kadar etki̇leyi̇ci̇ydi̇ ki̇ sabah uçuklarla uyandim dudaklarim uçuk i̇çi̇nde,neutral
i̇mdt,neutral
bindik bir alamete,neutral
rüyanın devamını görmek için nereye başvuruyoruz,neutral
hıc calısmadan,neutral
çayır biçiyom çayır,neutral
i'm getting john wick vibes and i love it,positive
this song is amazing,positive
i truly feel bad for the people who don't get this song,negative
"billboard charts (week of 05/17)

world albums
#3 hop (+1)
↳ peak: #1, weeks: 21
#14 ate (=)
↳ peak: #1, weeks: 42

top album sales
#20 hop (+1)
↳ peak: #1, weeks: 21

top current album sales
#18 hop (+1)
↳ peak: #1, weeks: 21",positive
tp bak bakalım dediğin bu mu sonra gidicem kolum ağrıyor senle uğraşamam a,neutral
bi̇ldi̇ri̇p atip durma ss ariyorum,neutral
dhru uhud savasinda tepeyi terk eden okcular diye grup var alayim mi,neutral
burdasin?? tutturdum,neutral
benim akrabalarım niyeböyle,neutral
neyse hadi biraz daha durayım zaten bi işim yok,neutral
ya sp yemi̇şi̇m haberi̇molmamiş,neutral
2 saat önce doktordayken bi çocuk  benle konuşmaya çalıştı babam onu dpvmek yerine bana kızdı😔,neutral
ben,neutral
yorumum mu silinmiş ytskmseni,neutral
aslında,neutral
nasilsin askm,neutral
çok güzelsi̇n??? kusursuzsun?,neutral
mal olduğumu biliyor muydunuz,neutral
anında sp kapmak diyincede ben,neutral
"you quoting official posts from samsung and being nasty, will not affect the one you're being nasty to (in this case, felix). but it'll certainly affect the ones you represent through your posts. i hope samsung knows how embarrassing ""stay"" are now. just reminder, samsung korea official account is followed by korean general public, not only k-pop fans and definitely not just ""stay"". every hateful comments in felix posts on samsung official account inevitably impacts how the public sees ""stay"". do you really think brands or media don’t see what you doing? it’s honestly so immature and pathetic. to any brand, fans like that are low-tier, low-quality profiles with zero investment value. samsung will recognize the praise and active support from pixies, while those jealous, bitter fan groups will only drag their own favs down into the blacklist of low-quality consumers. no brand wants to be associated with people like that. samsung is not a fashion house! samsung works with different idols, models and artists for each new cell phone models and it has nothing to do with your favorite, his contract expired long ago.",neutral
duru gelirsen bildirim ateşle 💋,neutral
"stay
amas あと2日です
最後まで全力で頑張りましょう！
時間内に全てのアカウントから忘れずに！
xのgiveawayも参加お願いします！",neutral
lee know,neutral
668k,neutral
"661k
just barely 2 days more voting for the amas! let's gather our strength and push for that last bit! we can do this stay! 
remember that you need to be not private and that it's kpopstraykids (with the dot above the i )because i've seen quite some wrong ones and those wrong ones won't count",neutral
"bno mi losi me despifo por hoy pero mañana si dios me wuiere con bifa buelvo a atormentarte con mi presenfia😊 genuinamente si ya no quierws reibiar o te sentis incomoda con alro q digo me lo dices graciad 🤝 que tengad londos sueños donde sos iwal de miyonetad q baekjin pq el aura ya la traes, que descansef mucho y recueefa que te quiero mvhooo, bsitos 💞💌",neutral
"bno beomseokilobwr es hora de cerrar esao okitos y no irse a tictos gracias 🫂 pq maniana terminamos esa serie q nose como sellama y tampoco me se el nombre de nadie😊 pero lo importante es convivir con mi futuro omeguita q desafortunadamente voy a verse casar con otra segun las predicciones de mayami 😮‍💨 te quiero mucho bb 😽 muchas gracias x acompañarme ya casi x 200horas😮 subes como la espuma verdaderamente, que tengas lindos sueños conmigo😊 o como dice la turca no sobrepienses y si vas a sobrepensar que sea en mí 💞💕🤭☺️😌 nos vemos mañana ahi nos chiflamos",neutral
siempre main character nunca extra,neutral
hmm,neutral
bno rn esta vuelta m ando yefo,neutral
bryh me muteo vamos aaa pretty plzzz,positive
"""tanto varo"" yo con 200 pesos en la cartera",neutral
"bueno amigines, hasta aquí llegó mi presencia el día de hoy, la vda que mi corasao esta muy feliz de haber hecho strim aunque no fuera mucho creo que no estuvo tan mal 🙏, desxansen mucho desp de su strim, lindos sueños, les agradezco mucho, los tqm 💗 lindo miércoles mañana muestro el calendario pq son muchos detallitos así bn x , nos vemos 😸",neutral
ah si vamos a mazeofmemoriessi yo casi mi comento yo creo q es autistafobico yt,neutral
tomate un te yt,neutral
tengo las patas re frias,neutral
las que deje fueron las que tenias para dar en el concierto q sigue,neutral
pero si me las lleve amifo,neutral
yo creo que ya me retiro en la próxima,neutral
"trumanaino, no le jala ni media neurona a ese muchacho 🙄",neutral
pos  tengo el pelo naranja feote en las puntas,neutral
lisa cosplay,neutral
pero q fribis eran pq nomas recuerdo q los mkos eran los q me diste con la pulsera?😊,neutral
que sige y pq 123-78😊 de boynextdoor,neutral
ñam ñam migajas,neutral
q incómodo tener agua de moco,neutral
work de eitis eiei pq tengo 3 laisk,neutral
q sob genericas dice,neutral
pq se pudo de moda la palabra migajero?,neutral
amigo escucho las de piwon pero nomás no se me quedan ya las volvi a olvidar,neutral
"pues yo fui al work, salí al mercadin y ya la vda que no hice mucho",neutral
hace calor,neutral
murmur de piwon pura wntrega en todos lados menos donde quiero,neutral
nomas del coraje me voy a quedar hasta las 11,neutral
migajera de strim,neutral
te debo el dato fe los km pq no llevé reloj,neutral
estoy cansada demi esta semana,neutral
será que necesito zzz para que el strim comience o pq me pasa esto unu,neutral
yore 1 hr me mimi noda,neutral
ohoh,neutral
tienes que confiar en que el destino nos unirá en esta y milochomil vidas más,neutral
pos te invito a my bag iguak la mayiria de veces q acepto ya tengo todo redi,neutral
vamos aaaa samuel rockstar oficial video,neutral
realmente te quiero mucho pisa 😮‍💨💖💖,neutral
se veia mui grande el baekjin,neutral
lade bag bad back era pos si me va el onichan pq genuinamente seria inutil oara pelear,negative
yo sería sieun o el beomseoki peor sin la parte de dejar a su besti en coma😊,neutral
q sige?chale si nos deopearon😢,neutral
q personaje de wikjiro serias,neutral
q sigue,neutral
are you alive? triples hace rato una muchacha estaba preguntando en fb q en cuanto costaban los ksu gigantes y nomas para presumie q agarré ganga le comenté pero luego otra puso un presio mas barato y salí ardida aunq el de ella es sin ems asi podria salir mas caro ns,neutral
me va medio lagi el yt,neutral
yo hace un rato me qde zzz como 5min,neutral
q transa estrim?olandaame dió mute?,neutral
yenog ola😊 soñabaaa,neutral
me acosté y casi me mimo envivo,neutral
me dejó trabajo,neutral
mañana van a ir a xochimilco sin mi unu,neutral
tamal,neutral
pero como nostoi tanmal sivine,neutral
parece q al final sime enfermé,neutral
tediber,neutral
album idiem,neutral
"synth vibing 2025 - just released (new electronica / edm album) ---
righteous destruction (rock / metal album)
castlevania: aura of holy might (soundtrack / remix album)",positive
se antoja un chocolate,neutral
me regalaron chocolate kiss negro pero nambre el se sifislis>>>>>>>>,neutral
hace meses no hago strim con esta acc 🫠,neutral
jsjsjsjsj la despedida de las turcas,neutral
"1coríntios 6:19-20 acaso não sabem que o corpo de vocês é templo do espírito santo, que está em vocês, o qual receberam de deus? vocês não são de vocês mesmos; foram comprados por um preço. portanto, glorifiquem a deus com o corpo de vocês.",neutral
alo,neutral
şu anda şarjım az ama yarın nanayla yaptığın gibi konuşabiliriz mv lerde filan,neutral
neyse o zaman öptüm askm iyi geceleer❤❤. (çok overythinkleme ha. bir şey düşüneceksen de beni düşün.😘😘😘),neutral
"omg wow, most wanted song loll 😆 😂 🤣 😭 😅 😍 😆 😂 🤣 😭 😅 😍 😆",positive
ayyy pp em çook tatlı oldu yaa,neutral
valla hazal ben arisi seçerdim nana mı arismi sorusu sormuştun ya. o en azından eylülü seviyorum diye bir hesap açmış aq(dalgalığına açtığını biliyorum),neutral
hazoşumm sürekli overthink leyip güzel kafanı yormaa❤❤❤,neutral
and i’m kissing you lying in my room,neutral
ben de diyorumki hazal her hün gelirdi en azından selam verirdi bugün neden gelmedi demiştim bir ara,neutral
hazal kaç tane hesabın var kız seninn,neutral
bu arada kırılmadım olm alıngan birisi değilim ben,neutral
aq yt siliyorr,neutral
sende haklısın kimseyi kırmamaya çalışınca tabiki 13 yaşında gözüküyor olabilirim. ama benim sülalemde bile benden küçük insan yok. yani 13 14 yaşındakilerle  arkadaş olmadım ya da kuzenim yok o yaşlarda büyük hepsi benden😞😞😞,neutral
ben kimmiyim? kısa bir özet geçiyim senin için. ben eylül 16 yaşındayım.ankara'da yaşıyorum. annemin adı yasemin. hobilerim tenis oynamak ve kitap okumak❤❤❤❤,neutral
çok kafa dengi allahım sonunda gerçek arkadaşımı buldumm yarabbim,neutral
bana iyi geceler desenize.,neutral
ben ve sans uyicaz igi hecelr,neutral
nana bne yüzümü pp yaptığım zaman sen görmedin mii?,neutral
ya esmayla bir yıl var aramızda ben normalde abla diyordum yinede bana dedi abla demene gerek yok,neutral
ampul gitti geldi koridordaki. sandım ankarada da oldu allahım nana kalp krizi geçirtiyordun kız bana😡😡😡,neutral
i love your guys videos ❤❤❤❤❤❤❤❤❤ oh i'm a girl 💞💞 i'm not his,positive
deprem ıyarısı geldi ilk dega oha,neutral
sansı da yanıka aldım,neutral
bu çileklerr sude ve elaya gelsinn🍓🍓🍓,neutral
melike de ne zamn ihtiyacmz olsa uyuyo 👎🏻👎🏻,neutral
nex2y here.,neutral
sude ve ela iyiyiz dimii? ben böyle saçma bir olay yüzünden aramızın açılmasını isteememm❤❤❤,neutral
que rico,neutral
sadakatsizdeki volkandanda nefret ederdim ya öyle böyle nefret değil ama her televizyonu açtığımda söve söve izlerdimm😞😞,neutral
sabır çekince sabredecek daha çok olayı kendine çekermişsin öyle diyorlar ondan mı oluyor acaba,neutral
kartinz bloke edi̇lmi̇sti̇r derkenn??pardon yani̇ bro wtf cani̇m nein olamaz nalaka,negative
birileri anlatsınn bana,neutral
ne dicegimi unuttm,neutral
ela kırıldım sus demene. siz bana birşey yazınca benimle ilgili bana da otomatikmen söz hakkı doğuyor ya konuşmak hakkım bence.,neutral
ya,neutral
i̇yi uyudu mu,neutral
ufff,neutral
yav ben konularınızı bilmiyorum. bilsem yapabileceğim bir şey olsa yardım ederim niye etmeyeyim,neutral
"おはようございます～♪
今日もcool♡",neutral
benim liseye yedinci ev gelcek diye pr afisleri boy boy asmıs(yeni 9lar calisiyor) cok tanıdık ama cıkaramadım herhwlde yeni cikmis bi gruptur dedim baya sarkısı ezberimdeymis aslinda bilmiyordum😔,neutral
sen şu çocuğu rahat bırak yeter ki ben bile görürsem söylerim eylül tamam artık ne yeri ne zamanı uzatma,neutral
güne puanım 2,neutral
bufn de bi sey olmadı,neutral
en son özür ss simi attı zaten sena arise. sonrasında ne dediğini merak ediyorum. birde yüzüne de özür dilemek istiyorum. kusura bakmayın arkadaşlar sizin gibi çoğu şeyi maalesefki boş veremiyorum. 1 haftadır kafamda bu olay ya,neutral
sevgilim derken ürkek ve isteksizsin,neutral
yaa benim çok büyük bir yanlışım oldu arise karşı bende dün geldiğini gördüm belki bugün sena söylesr bugünde gelir diye düşündüm,neutral
toplamıs,neutral
simdi kum temizlicem,neutral
disleidmi fırcaladım,neutral
tamamdır,neutral
beni affettiğin için sağool❤❤❤❤❤❤❤❤❤❤❤❤,neutral
aris nasıl gelebilir ya ciddiyim senaya ulaşabilir misinizz?,neutral
off ya yanlış anlaşılmaktan çok korkarım hayatta😞😞,neutral
nida kusuruma bakma yanlış yazmışım gerçekten küstahlık etmek istememiştim ki haddime de değil🙏🙏çoook özür dilerimm,neutral
ari̇s gelsi̇n 777,neutral
sarma yer misinz,neutral
ayagumı simek ısırmıs,neutral
sabır ya,neutral
ayy nanayla flörtleşmek çok güzel de tövbe mi bozduracakmış gibi hissediyorum yükselmiyorda değilimm haa,neutral
aris gel artık yaa lütfeen,neutral
coraline,neutral
ben bir şey diyecektim,neutral
when i was young i wanted to be anybody but myself,neutral
oynama onunla oyuncak degil o,neutral
aris gelemez mi ya????,neutral
favori bl niz hangissii?? ❤❤,neutral
erkek olması iyi oldu. 2 yıldır kız sevgiliye veya flörte tövbeliyim,neutral
you shine like the stars,neutral
ben her gördüğüne de yavşayan birisi değilim arkadaşlar. khonsuyla şakaydı sadece ciddi değildim(çocuk yakışıklı bu arada tipine hiçbir lafım yok). ama aristen ciddili hoşlandımm sanırım offf ağlıcam ya😭😭,neutral
kız olarak sarışın ve tatlı olsa daha iyi olur benim için. erkekte de uzun boylu olması şart benim için,neutral
yav ben biseksüelim. allahım ya insan ayırt etmediğim buradan belli oluyorr,neutral
meriç gözünü seveyim söyle ya. i̇ki seçenek var zatenn,neutral
ne diyecegim diye düşünunce ben de kotu hissediyorum,neutral
hayattan isteklerimi minimalize etmeyi ogrendim,neutral
meriç allah aşkına şu arisin cinsiyetini bir söyle ya yemin ederimki hoşlandım acayipp,neutral
acayip streslendim syan,neutral
ben aristen sanırım hoşlanıyorumm 😞😞,neutral
oooof,neutral
yaseminin bildirimi geldi sandım,neutral
caddede eserim harbici keserim. bizim gibi olmak için dua et şekerim. çek duman danimarka üstümde harbi marka fenerbahçe talisca,neutral
ooof,neutral
oo kefo bıremın gelmiş hoş gelmiş. ayıp oldu ama ha sormuyon hiç bizi,neutral
pintin sürekli bu senin modun olabilir deyip bir şeyler göstermesi çok kırıcı tamam mı,neutral
of mio..,neutral
meyve tabağı ister misiniz,neutral
sude diye exim vardı o aklıma geldi simdi ah eski günler ah... 😢,neutral
lan ödüm koptu ne alaka şu an,neutral
@ptal olma olasılığım yüzde kaç,neutral
slm,neutral
ben oha maddenin ruhu aww diye gezen simyaci olurdum kayra da lavoiser olurdu gaz çıkışı oluyor mewmewmew derdi,positive
bir şey söyleyeyim mi,neutral
same person different bodys:,neutral
benim burnum ne zaman normale dönecek,neutral
ben gormedim☹️,neutral
cidden sensin bu,neutral
eskiden simyacılar acık ortamda tepkimeye koydukları maddelerin tepkime sonrasında kütlelerinin azaldığını görünce elimizde kalan kütle bu maddenin ruhu diyorlarmis,neutral
kalbi̇ni̇ bana ver şüpheleri̇ne değerr,neutral
minika ve uyuma şekilleri,neutral
lutfen beni hemen uyandır,neutral
bir hesap buldum,neutral
kendini karanlık sanıyor,neutral
benim mutlaka bir olay peşinde oluş,neutral
a knock at my door,neutral
we could have been so good togethaa,positive
hep birlikte asalım mı,neutral
babam bana lgs videosu atmış,neutral
leblebi keşfettim,neutral
yarin gitmesem mi,neutral
would i run off the world someday?,neutral
berkay bugün sinirliydi,neutral
"i love this song, i hope it reaches more kids, your fandom of stays, we love you. ❤",positive
bugun yanlıslıkla poyraza kızdım gonlunu almaliyim,neutral
bugün hiç enayilik yapmadım,neutral
"i'm selfish, i know, i can't let you go",negative
yüksek tavanlı bir salon ortası boşluk,neutral
öf uykum geldi ne sıkıcısınız,neutral
ikea görevlisi showroomların planını eleştirip pürüzsüz ahşap dolaplara yanağımızı yasladığımız için uyardı,neutral
napmışım ki,neutral
"por una cabeza çaldım bugün okulda ama o kadar unutmuşum ki, tiyatro salonunda gösteri var diye piyano getirilmiş",neutral
kime istiyorsa şikayet edebilir hiç umrumda değil açıkçası,neutral
yasemin gel artık,neutral
together we're so toxic,neutral
zey mprelim boxuk gidiyorum kolumda aciyor. 1 tp ile idare et silmicem üşendim. sonra konuşuruz bb,neutral
ağlayacaksa oynamayalım,neutral
duru devamini at nolursn,neutral
neyse dinlediğiniz için teşekkürler bugünlük bu kadardı görüşürüz👋🏿,neutral
zey pt 1 attım. çok yavaşım üzgünüm,neutral
ne zaman,neutral
en sevmediğim,neutral
duru,neutral
peki anlatıyorum,neutral
tek elle yetişemiyorum da iyi misin cidden? endişeleniyorum,neutral
karımı kim sinirlendirdi,neutral
sargıyı değiştimeye üşendim tek elimle kapatamıyorum zaten. erkek kardeşimde parasız yardım etmez,neutral
size köpeğin annesiyle kavga ettiğim videoyu göstermek isterdim,neutral
benim geç kalmışlık💔💔💔,neutral
can you belive this my friend?,neutral
her şey fazla boş değil mi,neutral
günler geçti sevimsizleşti bu ev gözümde,neutral
birde pazar ve ertesi,neutral
meleklerim vardı,neutral
